text,label
harga emas hari ini berapa per gram,pencarian_web
berapa rasio final drive kalau pinion 8 diferensial 20,matematika
ceritakan tentang keindahan alam gunung dong,umum
jelaskan cara kerja internet secara umum dong,umum
apa perbedaan python dan javascript dong,umum
berapa torsi motor kalau arus 12 ampere dan tegangan 45 volt,matematika
jelaskan konsep fotosintesis dong,umum
"hitung skor rata-rata dari nilai 8, 25, dan 3",matematika
hitung 75 dikurangi 45,matematika
berapa 200 persen dari 10,matematika
jelaskan konsep fotosintesis,umum
30 ditambah 5 berapa,matematika
berapa keliling persegi panjang panjang 15 lebar 36,matematika
hitung diskon 24 persen untuk barang seharga 6,matematika
apa kebijakan terbaru bank indonesia soal suku bunga sekarang,pencarian_web
terima kasih banyak ya dong,umum
berapa 12 pangkat 60,matematika
"selamat pagi, semangat kerja ya",umum
siapa ceo terbaru perusahaan tesla,pencarian_web
kapan jadwal rilis iphone terbaru,pencarian_web
apa itu lubang hitam,umum
berapa 80 persen dari 60,matematika
hitung kecepatan maksimal RC dengan rasio 7 dan RPM motor 20,matematika
berita terkini soal harga bbm,pencarian_web
hitung total biaya 8 barang seharga 12 masing-masing,matematika
berapa rasio final drive kalau pinion 45 diferensial 5,matematika
jelaskan cara kerja internet secara umum ya,umum
bagaimana cara merawat tanaman hias,umum
tolong hitungkan 48 dikali 5,matematika
hitung kecepatan maksimal RC dengan rasio 3 dan RPM motor 10,matematika
berita terbaru tentang virus baru,pencarian_web
apa itu meditasi dan manfaatnya ya,umum
kapan konser coldplay di jakarta ya,pencarian_web
jelaskan perbedaan introvert dan ekstrovert,umum
berapa rasio final drive kalau pinion 20 diferensial 25,matematika
hitung 15 - 10,matematika
jadwal pertandingan timnas indonesia minggu ini,pencarian_web
berapa gaji setelah dipotong pajak 5 persen dari 45,matematika
berapa torsi motor kalau arus 30 ampere dan tegangan 60 volt,matematika
siapa pemenang oscar tahun ini,pencarian_web
siapa pemenang oscar tahun ini sekarang,pencarian_web
apa fungsi hati dalam tubuh manusia,umum
jadwal pertandingan timnas indonesia minggu ini ya,pencarian_web
kapan rilis film terbaru marvel ya,pencarian_web
jelaskan konsep fotosintesis ya,umum
berapa 72 pangkat 30,matematika
berapa hasil 15 + 40,matematika
siapa presiden indonesia saat ini ya,pencarian_web
